group,causa,measure
All,,
All,,
All,,
All,,
All,,
All,,
All,,
All,,
All,,
All,,
All,,
ASN,ERROR AL CARGAR ASN,3
ASN,NO ES VISIBLE EN WMS,5
ASN,ASN MARCADO CON ERROR,7
ASN,NO PUEDO ASIGNARLE UNA PUERTA,0
ASN,ERROR EN RECIBO O AUDITORIA DE ILPNS,2
ASN,ERROR EN VERIFICACION,2
ASN,ERROR CHECK-OUT,1
ASN,NO ES VISIBLE EN SGL,1
ASN,ERROR EN PROCESAMIENTO SGL,6
ASN,ERROR CIERRE ODBMS,3
ASN,DIF. UNIDADES ODBMS-WMS,11
ASN,OTRO,0
DISPO,SCI,7
DISPO,SGL,0
DISPO,WMS,4
DISPO,TMS,0
DISPO,ODBMS,0
DISPO,OTRO,0
DO,ENCABEZADO SIN DETALLE,0
DO,MARCADA CON ERROR,0
DO,CAMBIO ESTADO,0
DO,ERROR INTEGRACION,0
DO,SOLICITUD FUNCIONAL,0
DO,CANCELACION DO,0
DO,OTRO,0
DO-CO,ENCABEZADO SIN DETALLE,0
DO-CO,NO ES VISIBLE EN WMS,0
DO-CO,NO ES VISIBLE EN REPORTE RUTEO,0
DO-CO,MARCADA CON ERROR WMS,0
DO-CO,OTRO,0
ITEMS,ERROR INVENTARIO WMS,0
ITEMS,INCONSISTENCIA EN DATOS(PESO-VOLUMEN),0
ITEMS,NO ESTA REGISTRADO PARA LA BODEGA,0
ITEMS,OTRO,0
OLA,FALLAS EN IMPRESION,0
OLA,DEMORAS IMPRESION MOP,0
OLA,OLA ABORTADA,0
OLA,LENTITUD IMPRESION OLPNS OLA,0
OLA,OTRO,0
PO,ERROR INTEGRACION CEN/SIDEL,1
PO,ERROR DATOS,0
PO,NO ES VISIBLE EN WMS,0
PO,PROVEEDOR SIN CONFIGURACION COMERCIAL,1
PO,OTRO,0
REPORTES,DISPONIBILIDAD,10
REPORTES,ERROR DATOS,0
REPORTES,ERROR EN DESCARGA,0
REPORTES,OTRO,0
SHIPMENT,ERROR EN TMS,0
SHIPMENT,NO ES VISIBLE EN WMS,0
SHIPMENT,NO PUEDO ASIGNARLE UN DOCK DOOR,1
SHIPMENT,ERROR CARGANDO OLPNS,6
SHIPMENT,ERROR AL CERRAR SHIPMENT,0
SHIPMENT,ERROR EN CHECK-OUT,0
SHIPMENT,NO ES VISIBLE EN SGL,0
SHIPMENT,ERROR PROCESAMIENTO SGL,0
SHIPMENT,NO PROCESA EN SGL,1
SHIPMENT,TRF GENERADAS TIENEN INCONSISTENCIAS,0
SHIPMENT,OTRO,2
SLI,ERROR PROCESAMIENTO CONTENEDOR,0
SLI,CIERRE CARPETAS,0
